id,duration_months,credit_amount,installment_rate,present_residence_since,age_years,number_existing_credits,checking_status,credit_history,purpose,savings_account,present_employment_since,debtors_guarantors,property,installment_plans,housing,job,number_people_liable,telephone,foreign_worker,gender,label_value,score
993,36,3959.09,4,3,30,1,A11,A32,A42,A61,A71,A101,A122,A143,A152,A174,1,A192,False,male,0,1
859,9,3577.0,1,2,26,1,A14,A32,A40,A62,A73,A103,A121,A143,A151,A173,2,A191,True,male,0,0
298,18,2515.0,3,4,43,1,A14,A32,A42,A61,A73,A101,A121,A143,A152,A173,1,A192,False,male,0,0
553,12,1995.0,4,1,27,1,A12,A34,A40,A62,A72,A101,A123,A143,A152,A173,1,A191,False,male,0,1
672,60,10366.0,2,4,42,1,A14,A32,A40,A61,A75,A101,A122,A143,A152,A174,1,A192,False,male,0,0
971,24,7393.0,1,4,43,1,A14,A32,A40,A61,A73,A101,A122,A143,A152,A172,2,A191,False,male,0,0
27,12,409.0,3,3,42,2,A13,A31,A43,A64,A73,A101,A121,A143,A151,A173,1,A191,False,female,0,0
231,9,2507.0,2,4,51,1,A14,A32,A40,A63,A75,A101,A124,A143,A153,A172,1,A191,False,male,0,0
306,30,4811.0,2,4,24,1,A14,A32,A41,A65,A74,A101,A122,A142,A151,A172,1,A191,False,female,0,0
706,48,6560.0,3,2,24,1,A12,A32,A40,A62,A74,A101,A122,A143,A152,A173,1,A191,False,male,1,1
496,36,9034.0,4,1,29,1,A12,A32,A42,A62,A72,A102,A124,A143,A151,A174,1,A192,False,male,1,1
558,24,3552.0,3,4,27,1,A11,A31,A42,A61,A74,A101,A123,A141,A152,A173,1,A191,False,male,1,1
784,20,6468.0,1,4,60,1,A12,A32,A41,A65,A71,A101,A121,A143,A152,A174,1,A192,False,male,0,0
239,30,2522.0,1,3,39,1,A11,A32,A43,A61,A75,A103,A122,A143,A152,A173,2,A191,False,male,0,1
578,36,2820.0,4,4,27,2,A12,A34,A40,A61,A72,A101,A123,A143,A152,A173,1,A191,False,male,1,1
55,6,783.0,1,2,26,1,A14,A31,A40,A65,A73,A103,A121,A142,A152,A172,2,A191,False,male,0,0
906,21,3763.0,2,2,24,1,A11,A32,A40,A65,A74,A102,A121,A143,A152,A172,1,A191,True,male,0,0
